OPO,P_Value
WIUW,0.975422801523002
WIDN,0.738875822515346
WALC,0.00028446148742266333
VATB,0.4082063045839426
UTOP,0.43897788186269826
TXSB,0.06601439809787485
TXSA,0.9178023757720126
TXGC,0.08752542874305448
TNMS,0.6854655806349113
TNDS,0.04002077825069946
SCOP,0.03337412239995679
PRLL,0.3167958187853445
PATF,0.07345839615267537
PADV,0.022198010251389868
ORUO,0.1291297179737171
OKOP,0.5866985549952327
OHOV,0.3947358291500951
OHLP,0.1410302291247593
OHLC,0.7636707441962104
OHLB,0.6236234844690702
NYWN,0.8160988451416442
NYRT,0.07763872774146492
NYFL,0.6718214127142321
NYAP,0.47723879633140964
NVLV,0.27134352469114
NMOP,0.8138001290052377
NJTO,0.5086890231749965
NEOR,0.4440473897852639
NCNC,0.7804906111980126
NCCM,0.9803441051847332
MWOB,0.6098431123059466
MSOP,0.4628916054682104
MOMA,0.4681620604223422
MNOP,0.31078732804150794
MIOP,0.9898574428721756
MDPC,0.5922007353907106
MAOB,0.28990127911857133
LAOP,0.7306509802222408
KYDA,0.8826947466954757
INOP,0.21746721133119568
ILIP,0.3996115759853791
IAOP,0.44807919611912395
GALL,0.28990495159491114
FLWC,0.083399466529837
FLUF,0.027065854498817394
FLMP,0.09589429569995842
FLFH,0.7638882502074307
DCTC,0.3204139923791967
CORS,0.9033597244596877
CASD,0.8531114425398525
CAOP,0.006128295136353777
CAGS,0.16468891557832915
CADN,0.00269659018611469
AZOB,0.012615942874418428
AROR,0.04511920002686665
ALOB,0.17951746773896513
