DON_OPO,CAS_Period,Mean_LUNDON,Median_LUNDON,N,LUNDON_Group
ALOB,Post-CAS,27.08810915303943,12.808644633886807,460,Overall
ALOB,Pre-CAS,24.026093105139836,8.400243226754036,861,Overall
AROR,Post-CAS,27.541513109377934,15.002918887447088,234,Overall
AROR,Pre-CAS,26.566439163675998,13.85733901554976,297,Overall
AZOB,Post-CAS,26.674569810373164,17.91117478798892,443,Overall
AZOB,Pre-CAS,28.492396046666737,20.244343824304167,953,Overall
CADN,Post-CAS,28.157926138416062,16.57735325691498,706,Overall
CADN,Pre-CAS,25.11964340893971,13.31998771560177,1450,Overall
CAGS,Post-CAS,51.92121156066714,53.86083556227004,61,Overall
CAGS,Pre-CAS,52.12409172336885,60.24346942006266,103,Overall
CAOP,Post-CAS,31.656993165401186,28.60139192939547,1131,Overall
CAOP,Pre-CAS,33.072769981964555,29.989547401616555,2265,Overall
CASD,Post-CAS,33.93954747702132,27.179689804549994,242,Overall
CASD,Pre-CAS,34.300846131578226,28.497165636432428,388,Overall
CORS,Post-CAS,28.479949652498618,20.120332963102364,337,Overall
CORS,Pre-CAS,21.76670294101447,6.780716895704682,641,Overall
DCTC,Pre-CAS,49.56124709159687,53.54116836537722,198,Overall
FLFH,Post-CAS,36.77504784613007,32.259416058406295,292,Overall
FLFH,Pre-CAS,33.49618762247775,28.723424179464775,727,Overall
FLMP,Post-CAS,25.504548888930138,15.195867159720617,293,Overall
FLMP,Pre-CAS,26.884646405724123,19.80694841046785,679,Overall
FLUF,Post-CAS,27.852260396119924,16.986567209306948,374,Overall
FLUF,Pre-CAS,24.411864376779917,11.08262497516736,752,Overall
FLWC,Post-CAS,27.60476357709275,14.67366595662353,496,Overall
FLWC,Pre-CAS,23.383937375870637,10.087198284406943,1110,Overall
GALL,Post-CAS,40.08051592723393,39.84036246837598,676,Overall
GALL,Pre-CAS,27.399946310440555,17.050653042078324,1390,Overall
HIOP,Post-CAS,27.96406154001537,15.849065759280819,24,Overall
HIOP,Pre-CAS,24.073661731244314,12.255284874383989,130,Overall
IAOP,Post-CAS,26.22617908288019,21.35039629858502,126,Overall
IAOP,Pre-CAS,25.427293764076392,12.862592535778006,343,Overall
ILIP,Post-CAS,28.41898888246918,19.579084069894297,693,Overall
ILIP,Pre-CAS,24.339609977288998,12.108465792174487,1663,Overall
INOP,Post-CAS,29.99109664325225,20.20627356845209,546,Overall
INOP,Pre-CAS,30.802718999884444,25.537274408903144,890,Overall
KYDA,Post-CAS,19.851027144233377,5.327305732601061,393,Overall
KYDA,Pre-CAS,22.52565522808863,9.766192022170873,620,Overall
LAOP,Post-CAS,35.31271461301962,31.13583726135551,440,Overall
LAOP,Pre-CAS,33.6923572849557,26.31865545418239,920,Overall
MAOB,Post-CAS,24.203914521417605,12.432165093992781,535,Overall
MAOB,Pre-CAS,30.41320262470153,20.32562674783834,630,Overall
MDPC,Post-CAS,46.34378937296034,50.61342450927948,166,Overall
MDPC,Pre-CAS,30.10561625434041,22.944597889510298,626,Overall
MIOP,Post-CAS,26.846223293929558,16.15218851597875,558,Overall
MIOP,Pre-CAS,27.89970636836007,16.556323962266394,1165,Overall
MNOP,Post-CAS,26.198355833940816,12.306927170910352,413,Overall
MNOP,Pre-CAS,27.797299825865895,15.148559671002863,666,Overall
MOMA,Post-CAS,45.59067015564722,46.26113302765239,153,Overall
MOMA,Pre-CAS,46.59983789907594,49.81919277908042,354,Overall
MSOP,Post-CAS,34.50374536970858,24.35560163958185,163,Overall
MSOP,Pre-CAS,35.45140289830564,25.251823076103204,338,Overall
MWOB,Post-CAS,32.81364647743298,22.820918594608223,524,Overall
MWOB,Pre-CAS,33.893554335350096,26.906961047143383,1103,Overall
NCCM,Post-CAS,31.625428381004667,21.84781239171447,264,Overall
NCCM,Pre-CAS,30.695069765635523,24.03523862245988,570,Overall
NCNC,Post-CAS,24.45316844246983,13.488194445550526,400,Overall
NCNC,Pre-CAS,25.00857014558649,13.692531609283138,830,Overall
NEOR,Post-CAS,26.16611830366413,21.013421262865066,131,Overall
NEOR,Pre-CAS,22.62464315107162,9.837665957980077,241,Overall
NJTO,Post-CAS,17.409359280924836,5.7841874255646015,392,Overall
NJTO,Pre-CAS,15.146026019304184,3.1782971359325654,742,Overall
NMOP,Post-CAS,15.88028831594809,7.241295939631684,73,Overall
NMOP,Pre-CAS,15.874176916425617,6.486466247897653,162,Overall
NVLV,Post-CAS,37.43650097877659,35.47087006521394,295,Overall
NVLV,Pre-CAS,24.457210093659718,11.295760224573858,622,Overall
NYAP,Post-CAS,26.79638642911877,16.053936817897586,163,Overall
NYAP,Pre-CAS,20.123190366124764,6.194601627210254,294,Overall
NYFL,Post-CAS,24.736490785346312,11.090224220755065,80,Overall
NYFL,Pre-CAS,23.378807608186023,11.917293944241642,181,Overall
NYRT,Post-CAS,20.321214166819367,9.214126077654551,803,Overall
NYRT,Pre-CAS,20.56854600220249,8.512346805250814,1376,Overall
NYWN,Post-CAS,20.63753640858666,14.369079130130803,64,Overall
NYWN,Pre-CAS,21.981265301185072,9.039974854174627,137,Overall
OHLB,Post-CAS,25.18555650905725,14.384924594430522,242,Overall
OHLB,Pre-CAS,27.186414112762275,14.650592576865412,588,Overall
OHLC,Post-CAS,23.333891419885685,11.746407513017006,190,Overall
OHLC,Pre-CAS,22.4028936427389,9.995474800283196,409,Overall
OHLP,Post-CAS,17.19587779903301,3.8496855688829674,216,Overall
