"OPO","HR","HR_Lower","HR_Upper","Adj_P_Value","N","Events","Reliable"
"ALOB",0.871285319849545,0.69327657507834,1.09500037340731,0.237335461842968,327,75,TRUE
"AROR",1.35680976745902,0.993429934656352,1.85310778430389,0.0550407779312758,121,40,TRUE
"AZOB",1.30674459623787,1.1187967454342,1.52626600565787,0.000733184178890018,450,169,TRUE
"CADN",0.750453002459196,0.624234172652799,0.902193012770648,0.00224691263024838,525,117,TRUE
"CAGS",0.835863258575454,0.58345468849618,1.19746640281039,0.32832256923753,129,30,TRUE
"CAOP",0.840044310939842,0.743099792869559,0.94963617419049,0.00533656063223802,1064,277,TRUE
"CASD",0.914274709863793,0.719964619097618,1.16102683788019,0.462210534492588,222,69,TRUE
"CORS",1.1210204553806,0.903569122959425,1.39080323735028,0.299113015914178,312,85,TRUE
"CTOP",0.89917480101898,0.56555124506769,1.42960576930699,0.653254670741857,40,18,FALSE
"DCTC",0.989679141362498,0.791657417406455,1.23723315327081,0.927428312012109,186,79,TRUE
"FLFH",0.959879404959746,0.790254353767293,1.16591381961205,0.679801288581746,344,104,TRUE
"FLMP",0.778676292421265,0.587561321200703,1.03195487262479,0.0816699091313575,184,49,TRUE
"FLUF",0.777611724643845,0.594481197837463,1.01715579315748,0.066380480002708,242,54,TRUE
"FLWC",1.12740950286923,0.942223788659864,1.34899182387198,0.190217871350368,363,123,TRUE
"GALL",1.13839308006602,0.978335886848447,1.32463586602845,0.0936047371895835,597,174,TRUE
"HIOP",1.57822725549872,0.506585589524535,4.91684193452246,0.431264491493494,8,3,FALSE
"IAOP",0.813178493140923,0.577322625318219,1.14538948017576,0.236692099180941,140,33,TRUE
"ILIP",1.02176187605301,0.892700694683042,1.16948193002812,0.754670844207249,695,221,TRUE
"INOP",0.840369000807916,0.701014656853333,1.00742552329637,0.0601045249426412,496,120,TRUE
"KYDA",1.03193092562181,0.806278322237177,1.32073678019764,0.802848447595834,210,64,TRUE
"LAOP",1.01268820925912,0.826050304610219,1.24149510441298,0.903443071536051,334,96,TRUE
"MAOB",0.870379814035656,0.726800408716015,1.04232332782954,0.131215186038986,439,122,TRUE
"MDPC",0.884883868557076,0.709844299563115,1.10308621385627,0.276797727204917,298,81,TRUE
"MIOP",1.02362803922496,0.883999670310435,1.18531080709517,0.754952723408043,565,186,TRUE
"MNOP",1.11128443441196,0.912475921889768,1.35340896624284,0.294075718022784,328,101,TRUE
"MOMA",0.97910671142853,0.811527978687044,1.18129008184705,0.825514762529061,385,112,TRUE
"MSOP",1.10868266653643,0.822790993967171,1.49391189754245,0.497726630349464,145,44,TRUE
"MWOB",1.09375330410993,0.937173424430342,1.27649403948747,0.255600916699943,520,168,TRUE
"NCCM",1.04323590228052,0.828998285115758,1.31283884098153,0.718162963655616,252,74,TRUE
"NCNC",1.04331358535137,0.845671860156654,1.28714610082578,0.69232511624734,296,89,TRUE
"NEOR",0.941937357150183,0.645013084711231,1.37554726535863,0.756855741845282,111,27,TRUE
"NJTO",1.00866021190127,0.784641019250613,1.29663807793837,0.946347900193267,194,62,TRUE
"NMOP",1.23017752775791,0.680275223007631,2.22459483840937,0.493103790224619,31,11,FALSE
"NVLV",1.09924146379296,0.88121108804115,1.37121719429076,0.401542676474456,278,80,TRUE
"NYAP",0.852355054469061,0.591413444262791,1.2284285146486,0.391609632511542,116,29,TRUE
"NYFL",0.921514029646253,0.572111768159167,1.48430456092038,0.736808596090225,59,17,FALSE
"NYRT",1.06292681864495,0.890175919186074,1.26920240981997,0.500063367691147,424,126,TRUE
"NYWN",0.867892135129742,0.49234172079019,1.5299064174597,0.624221395261926,43,12,FALSE
"OHLB",1.04101650258252,0.858141505243049,1.2628632364568,0.683393986084535,309,107,TRUE
"OHLC",0.924384474491972,0.679609303390439,1.25732042280606,0.616378690943483,145,41,TRUE
"OHLP",1.16732821889988,0.900696936773516,1.51288975792599,0.242217162453311,170,58,TRUE
"OHOV",1.15976751263952,0.838775622442337,1.60360011352921,0.369959402730877,103,37,TRUE
"OKOP",1.02931026882083,0.831995625487157,1.27341971164771,0.790192222173344,293,87,TRUE
"ORUO",0.897639269340194,0.682675961280009,1.18029094850625,0.439420062684463,240,52,TRUE
"PADV",1.00612519750592,0.879174253464141,1.15140759532901,0.929290691727167,643,224,TRUE
"PATF",1.11034797172931,0.916939089585844,1.34455236157535,0.2837379386391,296,108,TRUE
"PRLL",1.16595641282356,0.791788235867985,1.71694184760664,0.436792359715139,79,26,TRUE
"SCOP",1.23828566497456,1.02378667927947,1.49772547261568,0.0276493926143829,304,109,TRUE
"TNDS",0.86432698703551,0.727866013907197,1.02637178580113,0.0962939619990134,526,134,TRUE
"TNMS",1.08941624619961,0.7230453775412,1.64142914725435,0.682183668024307,90,23,TRUE
"TXGC",1.18448032555552,1.04471831141356,1.342939648229,0.00821955944864758,755,257,TRUE
"TXSA",0.999542127353197,0.836160217273998,1.19484812086721,0.995987121184528,432,124,TRUE
"TXSB",1.12019283741791,0.991853849762425,1.26513799719883,0.0675126012705486,891,276,TRUE
"UTOP",1.11970912460661,0.844323174769973,1.48491544611324,0.432415464994485,161,49,TRUE
"VATB",0.916625576538546,0.745685566742299,1.12675165651287,0.408397875657647,328,92,TRUE
"WALC",0.739877597350675,0.595751061533492,0.918871814768278,0.00642236625545809,382,84,TRUE
"WIDN",0.974309592785776,0.737282344370014,1.287538200044,0.854802123385503,177,50,TRUE
"WIUW",0.960969775067556,0.774330417307494,1.19259541915512,0.717835445654851,263,84,TRUE
