OPO,P_Value
WIUW,0.975422801523002
WIDN,0.738875822515346
WALC,0.00028446148742266713
VATB,0.4082063045839429
UTOP,0.4389778818626979
TXSB,0.06601439809787493
TXSA,0.9178023757720125
TXGC,0.08752542874305481
TNMS,0.6854655806349108
TNDS,0.04002077825069914
SCOP,0.03337412239995689
PRLL,0.3167958187853442
PATF,0.07345839615267523
PADV,0.022198010251389788
ORUO,0.12912971797371695
OKOP,0.586698554995233
OHOV,0.39473582915009475
OHLP,0.1410302291247592
OHLC,0.7636707441962104
OHLB,0.6236234844690702
NYWN,0.816098845141644
NYRT,0.07763872774146444
NYFL,0.6718214127142321
NYAP,0.47723879633140964
NVLV,0.27134352469113987
NMOP,0.8138001290052378
NJTO,0.5086890231749965
NEOR,0.4440473897852639
NCNC,0.7804906111980126
NCCM,0.9803441051847332
MWOB,0.6098431123059466
MSOP,0.46289160546821007
MOMA,0.46816206042234243
MNOP,0.31078732804150805
MIOP,0.9898574428721756
MDPC,0.5922007353907105
MAOB,0.2899012791185712
LAOP,0.7306509802222413
KYDA,0.8826947466954758
INOP,0.21746721133119598
ILIP,0.39961157598537855
IAOP,0.4480791961191236
GALL,0.2899049515949111
FLWC,0.08339946652983679
FLUF,0.027065854498817512
FLMP,0.09589429569995883
FLFH,0.7638882502074309
DCTC,0.3204139923791968
CORS,0.9033597244596877
CASD,0.8531114425398525
CAOP,0.006128295136353798
CAGS,0.16468891557832913
CADN,0.0026965901861147
AZOB,0.012615942874418489
AROR,0.04511920002686672
ALOB,0.17951746773896535
